,datasetID,eventID,occurrenceID,eventDate,verbatimDepth,decimalLatitude,decimalLongitude,scientificName,scientificNameID,taxonID,nomenclaturalCode,basisOfRecord
52,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_1191,2017-08-17T15:24:00,13,70.0357,-162.766,Acartia,urn:lsid:marinespecies.org:taxname:104108,104108,WoRMS,HumanObservation
53,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_7446,2017-08-17T15:24:00,13,70.0357,-162.766,Aglantha digitale,urn:lsid:marinespecies.org:taxname:117849,117849,WoRMS,HumanObservation
54,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_3551,2017-08-17T15:24:00,13,70.0357,-162.766,Cirripedia,urn:lsid:marinespecies.org:taxname:1082,1082,WoRMS,HumanObservation
55,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_5248,2017-08-17T15:24:00,13,70.0357,-162.766,Oithona similis,urn:lsid:marinespecies.org:taxname:106656,106656,WoRMS,HumanObservation
56,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_4320,2017-08-17T15:24:00,13,70.0357,-162.766,Centropages abdominalis,urn:lsid:marinespecies.org:taxname:196774,196774,WoRMS,HumanObservation
57,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_4265,2017-08-17T15:24:00,13,70.0357,-162.766,Polychaeta,urn:lsid:marinespecies.org:taxname:883,883,WoRMS,HumanObservation
58,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_6677,2017-08-17T06:18:00,16,70.495,-160.6218,Isopoda,urn:lsid:marinespecies.org:taxname:1131,1131,WoRMS,HumanObservation
59,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_2520,2017-08-17T06:18:00,16,70.495,-160.6218,Rotifera,urn:lsid:marinespecies.org:taxname:1426,1426,WoRMS,HumanObservation
60,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_5479,2017-08-17T06:18:00,16,70.495,-160.6218,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,1135,WoRMS,HumanObservation
61,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_9018,2017-08-17T06:18:00,16,70.495,-160.6218,Obelia longissima,urn:lsid:marinespecies.org:taxname:117389,117389,WoRMS,HumanObservation
62,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_9731,2017-08-17T06:18:00,16,70.495,-160.6218,Microsetella,urn:lsid:marinespecies.org:taxname:115341,115341,WoRMS,HumanObservation
63,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_7537,2017-08-17T06:18:00,16,70.495,-160.6218,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,140223,WoRMS,HumanObservation
64,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_4549,2017-08-17T06:18:00,16,70.495,-160.6218,Tortanus discaudatus,urn:lsid:marinespecies.org:taxname:157684,157684,WoRMS,HumanObservation
65,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_7333,2017-08-17T06:18:00,16,70.495,-160.6218,Cyclopoida,urn:lsid:marinespecies.org:taxname:1101,1101,WoRMS,HumanObservation
66,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_9636,2017-08-17T06:18:00,16,70.495,-160.6218,Calanus glacialis/marshallae,urn:lsid:marinespecies.org:taxname:19677,19677,WoRMS,HumanObservation
67,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_2521,2017-08-17T06:18:00,16,70.495,-160.6218,Gammaridae,urn:lsid:marinespecies.org:taxname:101383,101383,WoRMS,HumanObservation
68,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_4152,2017-08-17T06:18:00,16,70.495,-160.6218,Ophiuroidea,urn:lsid:marinespecies.org:taxname:123084,123084,WoRMS,HumanObservation
