taxon,species2015,species2017
Solaster,Solaster sp.,Solaster
Pteraster obscurus ,Pteraster obscurus ,Pteraster obscurus
Boreoscala greenlandica,Boreoscala greenlandica,
Tachyrhynchus erosus,Tachyrhynchus erosus,Tachyrhynchus erosus
Tachyrhynchus erosus,Tachyrhynchus sp. ,
Hiatella arctica,Hiatella arctica,Hiatella arctica
Ciliatocardium ciliatum,,Ciliatocardium ciliatum
Serripes,,Serripes
Serripes,Serripes groenlandicus,Serripes groenlandicus
Cylichna alba,Cylichna alba,Cylichna alba
Cylinchnoides occultus,Cylinchnoides occultus,Cylichnoides occultus
Amicula vestita,Amicula vestita,Amicula vestita
Stenosemus albus,Stenosemus albus,Stenosemus albus
other.unid,,Gastropoda
Ariadnaria borealis,Ariadnaria borealis,Ariadnaria borealis
Crepidula,Crepidula sp. ,
Cryptonatica affinis,Cryptonatica affinis,Cryptonatica affinis
Euspira pallida,Euspira pallida,Euspira pallida
Lacuna crassior,Lacuna crassior,Lacuna crassior
Limneria undata,Limneria undata,Limneria undata
Naticidae,Naticidae,
Neoiphinoe coronata,Neoiphinoe coronata,Neoiphinoe coronata
Neoiphinoe kroyeri,Neoiphinoe kroyeri,
Onchidiopsis,Onchidiopsis sp.,Onchidiopsis
Trichotropis,Trichotropis sp. ,Trichotropis
Trichotropis,,Trichotropis bicarinata
Velutina,Velutina coriacea,
Velutina,Velutina sp.,
Velutina,Velutina velutina,Velutina velutina
Modiolus,,Modiolus
Musculus discors,,Musculus discors
Musculus glacialis,Musculus glacialis,Musculus glacialis
Musculus niger,Musculus niger,Musculus niger
other.unid,,Musculus
Admete solida,Admete solida,Admete solida
Admete viridula,Admete viridula,Admete viridula
other.unid,Admete sp. ,
other.unid,Admetinae,
Anomalisipho martensi,Anomalisipho martensi,Anomalisipho martensi
Anomalisipho verkruezeni,Anomalisipho verkruezeni,Anomalisipho verkruezeni
Aulacofusus brevicauda,Aulacofusus brevicauda,Aulacofusus brevicauda
Beringius behringii,,Beringius behringii
Beringius stimpsoni,Beringius stimpsoni,Beringius stimpsoni
Boreotrophon clathratus,Boreotrophon clathratus,Boreotrophon clathratus
Boreotrophon truncatus,Boreotrophon truncatus,Boreotrophon truncatus
other.unid,,Boreotrophon
other.unid,Boreotrophon cf. B. cymatus,
Buccinum angulosum,Buccinum angulosum,Buccinum angulosum
Buccinum ciliatum,Buccinum ciliatum,Buccinum ciliatum
Buccinum glaciale,Buccinum glaciale,Buccinum glaciale
Buccinum plectrum,Buccinum plectrum,
Buccinum polare,Buccinum polare,Buccinum polare
Buccinum scalariforme,Buccinum scalariforme,Buccinum scalariforme
Buccinum solenum,Buccinum solenum,
Buccinum tenellum,Buccinum tenellum,Buccinum tenellum
Buccinum terraenovae,,Buccinum terraenovae
other.unid,Buccinum sp. ,Buccinum
other.unid,Buccinidae,
Colus,,Colus pubescens
Colus,Colus sabini,Colus sabini
other.unid,Colus sp. ,
Curtitioma decussata,Curtitioma decussata,Curtitoma decussata
Curtitoma incisula,Curtitoma incisula,Curtitoma incisula
Curtitoma lawrenciana,,Curtitoma lawrenciana
Curtitoma violacea,,Curtitoma violacea
other.unid,Curtitoma sp. ,
Granotoma albrechti,Granotoma albrechti,Granotoma albrechti
Latisipho hypolispus,Latisipho hypolispus,Latisipho hypolispus
Neptunea,Neptunea communis,Neptunea communis
Neptunea,Neptunea heros,Neptunea heros
Neptunea,Neptunea sp.,Neptunea
Neptunea,Buccinidae cf. Neptunea,
Nodulotrophon coronatus,Nodulotrophon coronatus,Nodulotrophon coronatus
Obesotoma,Obesotoma japonica,Obesotoma japonica
Obesotoma,Obesotoma tenuilirata,Obesotoma tenuilirata
Obesotoma,Obesotoma sp,Obesotoma
Oenopota,Oenopota declivis ,
Oenopota,Oenopota elegans,Oenopota elegans
Oenopota,Oenopota harpa,Oenopota harpa
Oenopota,Oenopota impressa ,Oenopota impressa
Oenopota,,Oenopota pyramidalis
Oenopota,Oenopota sp. ,Oenopota
Plicifusus kroeyeri,Plicifusus kroeyeri,Plicifusus kroeyeri
Plicifusus rhyssus,,Plicifusus rhyssus
other.unid,,Plicifusus
Propebela arctica,Propebela arctica,Propebela arctica
Propebela nobilis,Propebela nobilis,Propebela nobilis
Pseudoliomesus ooides,Pseudoliomesus ooides,
Pyrulofusus deformis,Pyrulofusus deformis,
Retifusus jessoensis,Retifusus jessoensis,Retifusus jessoensis
